Reg addr,Bit/Value,Meaning,Notes
0x0003,0,Normal,
System status,2,Faulty charging circuit,
Bitflag,4,Battery not connected,
,8,Load short,
,16,PV overvoltage,
,32,Load overvoltage,
,64,Temperature failure,
,128,Storage failure,
0x0004,0,Normal,
Battery status,1,Undervoltage,
Enum,2,Float charge,
,3,Charge full,
,4,Overvoltage,
0x0006,0,Night,
Time of day,1,Day,
Enum,,,
0x100A,0,Custom,
Battery type,1,VRLA,
Enum,2,NCM2,
,3,NCM3,
,4,LFP,
0x100E,0,Auto,
Voltage mode,1,12V,
Enum,2,24V,
,3,48V,
,9999,Other,
0x100F,0,English,
Device language,1,Chinese,
Enum,,,
