Address (dec),Address (hex),Name,Category,Length,Scale,Unit,Access,Min,Max,Enum/Bitfields,Raw example,Decoded example,Confirmed,Notes
3,0x0003,System status,System,1,,,RO,,,Bitfield,,,Yes,
4,0x0004,Battery status,Battery,1,,,RO,,,Enum,,,Yes,
5,0x0005,Battery SOC,Battery,1,1,%,RO,0,100,,,,Yes,Charge %
6,0x0006,Time of day,System,1,,,RO,0,1,,,,Yes,"0-Night, 1-Day"
7,0x0007,Battery voltage,Battery,1,"0,1",V,RO,,,,,,Yes,
8,0x0008,Battery current,Battery,1,"0,1",A,RO,,,,,,Yes,
9,0x0009,PV voltage,PV,1,"0,1",V,RO,,,,,,Yes,
10,0x000A,PV current,PV,1,"0,1",A,RO,,,,,,Yes,
11,0x000B,Turbine voltage,Turbine,1,"0,1",V,RO,,,,,,Yes,
12,0x000C,Turbine current,Turbine,1,"0,1",A,RO,,,,,,Yes,
13,0x000D,Turbine unloaded voltage,Turbine,1,"0,1",V,RO,,,,,,Yes,
14,0x000E,Turbine unloaded current,Turbine,1,"0,1",A,RO,,,,,,Yes,
15,0x000F,System temperature,System,1,"0,1",*C,RO,-500,9999,,721,"22,1",Yes,"Offset of -50C, 9999=abnormal"
16,0x0010,Battery temperature,Battery,1,"0,1",*C,RO,-500,9999,,481,"2,1",Yes,"Offset of -50C, 9999=abnormal"
29,0x001D,Turbine RPM,Turbine,1,1,RPM,RO,,,,,,Yes,
30,0x001E,Output voltage,Output,1,"0,1",V,RO,,,,,,Yes,
39,0x0027,PV power,PV,1,1,W,RO,,,,,,Yes,
40,0x0028,Turbine power,Turbine,1,1,W,RO,,,,,,Yes,
41,0x0029,Battery power,Battery,1,1,W,RO,,,,,,Yes,
42,0x002A,Output power,Output,1,1,W,RO,,,,,,Yes,
43,0x002B,Turbine unloaded power,Turbine,1,1,W,RO,,,,,,Yes,
44,0x002C,Turbine wind speed,Turbine,1,"0,01",m/s,RO,,,,,,Yes,
48,0x0030,PV daily energy,PV,1,"0,01",kWh,RO,,,,,,Yes,
49,0x0031,Turbine daily energy,Turbine,1,"0,01",kWh,RO,,,,,,Yes,
50,0x0032,Battery daily energy,Battery,1,"0,01",kWh,RO,,,,,,Yes,
51,0x0033,Output daily energy,Output,1,"0,01",kWh,RO,,,,,,Yes,
52,0x0034,PV 30-day energy,PV,1,"0,1",kWh,RO,,,,,,Yes,
53,0x0035,Turbine 30-day energy,Turbine,1,"0,1",kWh,RO,,,,,,Yes,
